train_params/lambda_sparsity,train/grad_norm,train_params/lambda_orient,train_params/lambda_opaque,train/loss_opaque,lr-Adam/geometry,step,train/max_step,train/loss_orient,epoch,train/loss_sparsity,lr-Adam/background,train_params/lambda_sds,train/loss_sds,train/min_step
,,,,,0.01,0,,,,,0.001,,,
1.0,20.35923957824707,10.0,0.0,0.2490595430135727,,0,980.0,0.020810730755329132,0,0.3734660744667053,,1.0,207.24932861328125,20.0
,,,,,0.01,1,,,,,0.001,,,
1.0,45.0925178527832,10.197999954223633,0.0,0.2338348925113678,,1,980.0,0.017719630151987076,0,0.33066290616989136,,1.0,1016.6676025390625,20.0
,,,,,0.01,2,,,,,0.001,,,
1.0,23.630002975463867,10.395999908447266,0.0,0.1279798150062561,,2,980.0,0.016193624585866928,0,0.2197401076555252,,1.0,279.1884765625,20.0
,,,,,0.01,3,,,,,0.001,,,
1.0,14.952576637268066,10.593999862670898,0.0,0.11154604703187943,,3,980.0,0.01664106361567974,0,0.20544788241386414,,1.0,111.78978729248047,20.0
,,,,,0.01,4,,,,,0.001,,,
1.0,5.236542224884033,10.791999816894531,0.0,0.13337886333465576,,4,980.0,0.0164097361266613,0,0.225198894739151,,1.0,13.710688591003418,20.0
,,,,,0.01,5,,,,,0.001,,,
1.0,333.79644775390625,10.989999771118164,0.0,0.18267220258712769,,5,980.0,0.01845555379986763,0,0.28627175092697144,,1.0,55710.03515625,20.0
,,,,,0.01,6,,,,,0.001,,,
1.0,429.27435302734375,11.187999725341797,0.0,0.1749873161315918,,6,980.0,0.021628938615322113,0,0.3164888024330139,,1.0,92138.234375,20.0
,,,,,0.01,7,,,,,0.001,,,
1.0,44.01913070678711,11.38599967956543,0.0,0.2534184753894806,,7,980.0,0.019955333322286606,0,0.38384589552879333,,1.0,968.8419799804688,20.0
,,,,,0.01,8,,,,,0.001,,,
1.0,405.90155029296875,11.583999633789062,0.0,0.12225452065467834,,8,980.0,0.019316526129841805,0,0.22464829683303833,,1.0,82378.03125,20.0
,,,,,0.01,9,,,,,0.001,,,
1.0,211.0565948486328,11.781999588012695,0.0,0.11033989489078522,,9,980.0,0.02381035126745701,0,0.25591543316841125,,1.0,22272.443359375,20.0
,,,,,0.01,10,,,,,0.001,,,
1.0,18.617412567138672,11.979999542236328,0.0,0.12117402255535126,,10,980.0,0.016270451247692108,0,0.21268142759799957,,1.0,173.30401611328125,20.0
,,,,,0.01,11,,,,,0.001,,,
1.0,32.06006622314453,12.178000450134277,0.0,0.18682152032852173,,11,980.0,0.01804802007973194,0,0.28662025928497314,,1.0,513.9238891601562,20.0
,,,,,0.01,12,,,,,0.001,,,
